airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
Vistara,UK-807,Delhi,Night,one,Morning,Mumbai,Economy,11.58,6,12150
Air_India,AI-807,Delhi,Evening,one,Morning,Mumbai,Economy,15.25,6,12150
SpiceJet,SG-8803,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,7,5953
SpiceJet,SG-1061,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,7,5953
SpiceJet,SG-8157,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,7,5953
SpiceJet,SG-1063,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,7,5953
SpiceJet,SG-8169,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,7,5953
GO_FIRST,G8-323,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,7,5954
Vistara,UK-817,Delhi,Evening,one,Night,Mumbai,Economy,5.75,7,12150
Vistara,UK-813,Delhi,Evening,one,Night,Mumbai,Economy,5.83,7,12150
Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,6,7,12150
Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,6.5,7,12150
Vistara,UK-817,Delhi,Evening,one,Night,Mumbai,Economy,7.33,7,12150
Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,7.58,7,12150
Vistara,UK-807,Delhi,Night,one,Morning,Mumbai,Economy,11.58,7,12150
SpiceJet,SG-1061,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,8,5953
SpiceJet,SG-8157,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,8,5953
Vistara,UK-817,Delhi,Evening,one,Night,Mumbai,Economy,5.75,8,12150
Vistara,UK-813,Delhi,Evening,one,Night,Mumbai,Economy,5.83,8,12150
Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,6,8,12150
Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,6.5,8,12150
Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,9.17,8,12150
SpiceJet,SG-8157,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,9,5955
Vistara,UK-943,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,9,5955
Vistara,UK-801,Delhi,Morning,one,Night,Mumbai,Economy,11.67,9,12150
Vistara,UK-815,Delhi,Morning,one,Night,Mumbai,Economy,13.75,9,12150
SpiceJet,SG-1061,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,10,5953
SpiceJet,SG-8157,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,10,5953
Vistara,UK-899,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,23.75,10,10575
Vistara,UK-801,Delhi,Morning,one,Night,Mumbai,Economy,12.75,10,12150
Vistara,UK-815,Delhi,Morning,one,Night,Mumbai,Economy,13.75,10,12150
SpiceJet,SG-8709,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,11,5953
SpiceJet,SG-8169,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,11,5953
Vistara,UK-975,Delhi,Early_Morning,zero,Early_Morning,Mumbai,Economy,2.17,11,5955
Vistara,UK-993,Delhi,Afternoon,zero,Afternoon,Mumbai,Economy,2.17,11,5955
Vistara,UK-985,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,11,5955
Vistara,UK-943,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,11,5955
Vistara,UK-977,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,11,5955
Vistara,UK-963,Delhi,Morning,zero,Morning,Mumbai,Economy,2.33,11,5955
Vistara,UK-945,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.33,11,5955
Vistara,UK-941,Delhi,Evening,zero,Evening,Mumbai,Economy,2.33,11,5955
GO_FIRST,G8-530,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,11,5954
GO_FIRST,G8-354,Delhi,Night,zero,Late_Night,Mumbai,Economy,2.17,11,5954
GO_FIRST,G8-2501,Delhi,Late_Night,zero,Early_Morning,Mumbai,Economy,2.25,11,5954
GO_FIRST,G8-338,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.33,11,5954
GO_FIRST,G8-323,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,11,5954
Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,6,11,12150
Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,6.5,11,12150
Vistara,UK-927,Delhi,Morning,zero,Morning,Mumbai,Economy,2.08,12,5955
Vistara,UK-975,Delhi,Early_Morning,zero,Early_Morning,Mumbai,Economy,2.17,12,5955
Vistara,UK-943,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,12,5955
Vistara,UK-963,Delhi,Morning,zero,Morning,Mumbai,Economy,2.33,12,5955
Vistara,UK-945,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.33,12,5955
Vistara,UK-941,Delhi,Evening,zero,Evening,Mumbai,Economy,2.33,12,5955
GO_FIRST,G8-7534,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.08,12,5954
GO_FIRST,G8-7535,Delhi,Evening,zero,Evening,Mumbai,Economy,2.08,12,5954
GO_FIRST,G8-530,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,12,5954
GO_FIRST,G8-334,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,12,5954
GO_FIRST,G8-354,Delhi,Night,zero,Late_Night,Mumbai,Economy,2.17,12,5954
GO_FIRST,G8-2501,Delhi,Late_Night,zero,Early_Morning,Mumbai,Economy,2.25,12,5954
GO_FIRST,G8-346,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,12,5954
GO_FIRST,G8-338,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.33,12,5954
GO_FIRST,G8-323,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,12,5954
GO_FIRST,G8-7541,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,6.08,12,5954
GO_FIRST,G8-2509,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,9.75,12,5954
Vistara,UK-811,Delhi,Early_Morning,one,Morning,Mumbai,Economy,5.5,12,12150
Vistara,UK-817,Delhi,Evening,one,Night,Mumbai,Economy,5.75,12,12150
Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,6,12,12150
Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,6.5,12,12150
Vistara,UK-817,Delhi,Evening,one,Night,Mumbai,Economy,7.33,12,12150
SpiceJet,SG-8709,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,13,5953
SpiceJet,SG-1089,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,13,5953
SpiceJet,SG-1061,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,13,5953
SpiceJet,SG-8157,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,13,5953
SpiceJet,SG-1063,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,13,5953
SpiceJet,SG-8169,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,13,5953
Vistara,UK-975,Delhi,Early_Morning,zero,Early_Morning,Mumbai,Economy,2.17,13,5955
Vistara,UK-943,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,13,5955
GO_FIRST,G8-7534,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.08,13,5954
GO_FIRST,G8-530,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,13,5954
GO_FIRST,G8-334,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,13,5954
GO_FIRST,G8-2501,Delhi,Late_Night,zero,Early_Morning,Mumbai,Economy,2.25,13,5954
Air_India,AI-624,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,13,5955
GO_FIRST,G8-113,Delhi,Early_Morning,one,Morning,Mumbai,Economy,5.58,13,5954
GO_FIRST,G8-7541,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,6.08,13,5954
GO_FIRST,G8-2509,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,9.75,13,5954
Vistara,UK-811,Delhi,Early_Morning,one,Morning,Mumbai,Economy,5.5,13,12150
Vistara,UK-817,Delhi,Evening,one,Night,Mumbai,Economy,5.75,13,12150
Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,6,13,12150
Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,6.5,13,12150
Vistara,UK-817,Delhi,Evening,one,Night,Mumbai,Economy,7.33,13,12150
Vistara,UK-975,Delhi,Early_Morning,zero,Early_Morning,Mumbai,Economy,2.17,14,5955
Vistara,UK-943,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,14,5955
Vistara,UK-977,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,14,5955
Vistara,UK-963,Delhi,Morning,zero,Morning,Mumbai,Economy,2.33,14,5955
Vistara,UK-945,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.33,14,5955
Vistara,UK-941,Delhi,Evening,zero,Evening,Mumbai,Economy,2.33,14,5955
GO_FIRST,G8-530,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,14,5954
GO_FIRST,G8-334,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,14,5954
GO_FIRST,G8-2501,Delhi,Late_Night,zero,Early_Morning,Mumbai,Economy,2.25,14,5954
GO_FIRST,G8-346,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,14,5954
GO_FIRST,G8-338,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.33,14,5954
GO_FIRST,G8-7541,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,6.08,14,5954
GO_FIRST,G8-211,Delhi,Morning,one,Afternoon,Mumbai,Economy,6.75,14,5954
GO_FIRST,G8-2509,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,9.75,14,5954
Vistara,UK-817,Delhi,Evening,one,Night,Mumbai,Economy,5.75,14,12150
Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,6,14,12150
Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,6.5,14,12150
GO_FIRST,G8-530,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,15,2410
GO_FIRST,G8-334,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,15,2410
GO_FIRST,G8-336,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.25,15,2410
GO_FIRST,G8-392,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.25,15,2410
Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,6,15,6296
Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,6.5,15,6296
GO_FIRST,G8-392,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.25,16,2410
SpiceJet,SG-8803,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,16,2621
Vistara,UK-817,Delhi,Evening,one,Night,Mumbai,Economy,5.75,16,6296
Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,6,16,6296
Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,6.5,16,6296
Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,7.58,16,6296
Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,9.17,16,6296
Vistara,UK-807,Delhi,Night,one,Morning,Mumbai,Economy,11.58,16,6296
Vistara,UK-801,Delhi,Morning,one,Night,Mumbai,Economy,11.67,16,6296
Vistara,UK-815,Delhi,Morning,one,Night,Mumbai,Economy,12.17,16,6296
Vistara,UK-809,Delhi,Evening,one,Morning,Mumbai,Economy,12.42,16,6296
Vistara,UK-815,Delhi,Morning,one,Night,Mumbai,Economy,12.67,16,6296
GO_FIRST,G8-392,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.25,17,2410
SpiceJet,SG-8803,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,17,2621
SpiceJet,SG-1061,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,17,2621
SpiceJet,SG-8157,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,17,2621
Vistara,UK-977,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,17,3100
Vistara,UK-811,Delhi,Early_Morning,one,Morning,Mumbai,Economy,5.5,17,6296
Vistara,UK-817,Delhi,Evening,one,Night,Mumbai,Economy,5.75,17,6296
Vistara,UK-813,Delhi,Evening,one,Night,Mumbai,Economy,5.83,17,6296
Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,6,17,6296
Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,6.5,17,6296
Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,7.58,17,6296
Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,9.17,17,6296
Vistara,UK-807,Delhi,Night,one,Morning,Mumbai,Economy,11.58,17,6296
Vistara,UK-801,Delhi,Morning,one,Night,Mumbai,Economy,11.67,17,6296
Vistara,UK-815,Delhi,Morning,one,Night,Mumbai,Economy,12.17,17,6296
Vistara,UK-809,Delhi,Evening,one,Morning,Mumbai,Economy,12.42,17,6296
Vistara,UK-815,Delhi,Morning,one,Night,Mumbai,Economy,12.67,17,6296
Vistara,UK-801,Delhi,Morning,one,Night,Mumbai,Economy,12.75,17,6296
Vistara,UK-975,Delhi,Early_Morning,zero,Early_Morning,Mumbai,Economy,2.17,18,2476
Vistara,UK-927,Delhi,Morning,zero,Morning,Mumbai,Economy,2.08,18,2700
Vistara,UK-993,Delhi,Afternoon,zero,Afternoon,Mumbai,Economy,2.17,18,2700
Vistara,UK-951,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.17,18,2700
Vistara,UK-985,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,18,2700
Vistara,UK-995,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.25,18,2700
Vistara,UK-945,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.33,18,2700
GO_FIRST,G8-7534,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.08,18,2410
Indigo,6.00E-171,Delhi,Late_Night,zero,Early_Morning,Mumbai,Economy,2.17,18,2410
Indigo,6E-2054,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,18,2410
GO_FIRST,G8-530,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,18,2410
Indigo,6E-5001,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,18,2410
GO_FIRST,G8-334,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,18,2410
GO_FIRST,G8-354,Delhi,Night,zero,Late_Night,Mumbai,Economy,2.17,18,2410
GO_FIRST,G8-336,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.25,18,2410
GO_FIRST,G8-392,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.25,18,2410
Indigo,6E-6261,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,18,2410
GO_FIRST,G8-338,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.33,18,2410
Indigo,6.00E-218,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.33,18,2410
GO_FIRST,G8-323,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,18,2410
SpiceJet,SG-1091,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,18,2621
SpiceJet,SG-8709,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,18,2621
SpiceJet,SG-8803,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,18,2621
SpiceJet,SG-1061,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,18,2621
SpiceJet,SG-8157,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,18,2621
SpiceJet,SG-1063,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,18,2621
SpiceJet,SG-8169,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,18,2621
Vistara,UK-943,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,18,3100
Vistara,UK-977,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,18,3100
SpiceJet,SG-8483,Delhi,Evening,one,Early_Morning,Mumbai,Economy,13.25,18,3519
Air_India,AI-537,Delhi,Evening,one,Morning,Mumbai,Economy,15.83,18,4170
GO_FIRST,G8-7541,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,6.08,18,5584
Vistara,UK-817,Delhi,Evening,one,Night,Mumbai,Economy,5.75,18,6296
Vistara,UK-813,Delhi,Evening,one,Night,Mumbai,Economy,5.83,18,6296
Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,6,18,6296
Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,6.5,18,6296
Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,7.58,18,6296
Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,9.17,18,6296
Vistara,UK-807,Delhi,Night,one,Morning,Mumbai,Economy,11.58,18,6296
Vistara,UK-975,Delhi,Early_Morning,zero,Early_Morning,Mumbai,Economy,2.17,19,2476
Vistara,UK-927,Delhi,Morning,zero,Morning,Mumbai,Economy,2.08,19,2700
Vistara,UK-993,Delhi,Afternoon,zero,Afternoon,Mumbai,Economy,2.17,19,2700
Vistara,UK-951,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.17,19,2700
Vistara,UK-933,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.17,19,2700
Vistara,UK-985,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,19,2700
Vistara,UK-995,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.25,19,2700
Vistara,UK-945,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.33,19,2700
GO_FIRST,G8-7533,Delhi,Afternoon,zero,Afternoon,Mumbai,Economy,2.08,19,2410
GO_FIRST,G8-7534,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.08,19,2410
GO_FIRST,G8-7535,Delhi,Evening,zero,Evening,Mumbai,Economy,2.08,19,2410
Indigo,6.00E-171,Delhi,Late_Night,zero,Early_Morning,Mumbai,Economy,2.17,19,2410
Indigo,6E-2054,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,19,2410
GO_FIRST,G8-530,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,19,2410
Indigo,6E-5001,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,19,2410
GO_FIRST,G8-334,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,19,2410
Indigo,6E-5329,Delhi,Morning,zero,Morning,Mumbai,Economy,2.17,19,2410
GO_FIRST,G8-354,Delhi,Night,zero,Late_Night,Mumbai,Economy,2.17,19,2410
GO_FIRST,G8-336,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.25,19,2410
GO_FIRST,G8-392,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.25,19,2410
GO_FIRST,G8-346,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,19,2410
Indigo,6E-6261,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,19,2410
GO_FIRST,G8-338,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.33,19,2410
Indigo,6.00E-218,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.33,19,2410
GO_FIRST,G8-323,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,19,2410
Indigo,6E-2081,Delhi,Early_Morning,zero,Early_Morning,Mumbai,Economy,2.42,19,2410
AirAsia,I5-1529,Delhi,Morning,one,Night,Mumbai,Economy,11,19,2409
Air_India,AI-887,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.08,19,2476
Air_India,AI-441,Delhi,Evening,one,Night,Mumbai,Economy,3.75,19,2476
SpiceJet,SG-8709,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,19,2621
SpiceJet,SG-8803,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,19,2621
SpiceJet,SG-8157,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33,19,2621
SpiceJet,SG-8169,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,19,2621
Vistara,UK-943,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25,19,3100
Vistara,UK-977,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,19,3100
Vistara,UK-963,Delhi,Morning,zero,Morning,Mumbai,Economy,2.33,19,3100
Vistara,UK-941,Delhi,Evening,zero,Evening,Mumbai,Economy,2.33,19,3100
Vistara,UK-955,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,19,3100
GO_FIRST,G8-713,Delhi,Evening,one,Late_Night,Mumbai,Economy,6.08,19,3330
GO_FIRST,G8-717,Delhi,Evening,one,Late_Night,Mumbai,Economy,9.33,19,3330
SpiceJet,SG-8483,Delhi,Evening,one,Early_Morning,Mumbai,Economy,13.25,19,3519
GO_FIRST,G8-2509,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,9.75,19,5087
GO_FIRST,G8-2609,Delhi,Night,one,Morning,Mumbai,Economy,11.83,19,5087
GO_FIRST,G8-165,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,8,19,5584
Vistara,UK-811,Delhi,Early_Morning,one,Morning,Mumbai,Economy,5.5,19,6296
Vistara,UK-817,Delhi,Evening,one,Night,Mumbai,Economy,5.75,19,6296
Vistara,UK-813,Delhi,Evening,one,Night,Mumbai,Economy,5.83,19,6296
Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,6,19,6296
Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,6.5,19,6296
Vistara,UK-817,Delhi,Evening,one,Night,Mumbai,Economy,7.33,19,6296
Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,7.58,19,6296
Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,9.17,19,6296
Vistara,UK-801,Delhi,Morning,one,Night,Mumbai,Economy,11.17,19,6296
Vistara,UK-807,Delhi,Night,one,Morning,Mumbai,Economy,11.58,19,6296
GO_FIRST,G8-1010,Delhi,Afternoon,one,Evening,Mumbai,Economy,5.83,19,5954
Vistara,UK-975,Delhi,Early_Morning,zero,Early_Morning,Mumbai,Economy,2.17,20,2476
Vistara,UK-927,Delhi,Morning,zero,Morning,Mumbai,Economy,2.08,20,2700
Vistara,UK-993,Delhi,Afternoon,zero,Afternoon,Mumbai,Economy,2.17,20,2700
Vistara,UK-951,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.17,20,2700
Vistara,UK-933,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.17,20,2700
Vistara,UK-985,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,20,2700
Vistara,UK-995,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.25,20,2700
Vistara,UK-945,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.33,20,2700
GO_FIRST,G8-7533,Delhi,Afternoon,zero,Afternoon,Mumbai,Economy,2.08,20,2410
GO_FIRST,G8-7534,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.08,20,2410
GO_FIRST,G8-7535,Delhi,Evening,zero,Evening,Mumbai,Economy,2.08,20,2410
Indigo,6.00E-171,Delhi,Late_Night,zero,Early_Morning,Mumbai,Economy,2.17,20,2410
Indigo,6E-2054,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,20,2410
GO_FIRST,G8-530,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,20,2410
Indigo,6E-5001,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,20,2410
GO_FIRST,G8-334,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,20,2410
Indigo,6E-5329,Delhi,Morning,zero,Morning,Mumbai,Economy,2.17,20,2410
Indigo,6E-2137,Delhi,Night,zero,Late_Night,Mumbai,Economy,2.17,20,2410
GO_FIRST,G8-336,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.25,20,2410
GO_FIRST,G8-392,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.25,20,2410
GO_FIRST,G8-346,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,20,2410
Indigo,6E-6261,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,20,2410
